,Aula,Month,Upper,Comfort,Lower
0,A-11,1,0.0,100.0,0
1,A-11,2,3.57,96.43,0
2,A-11,3,2.02,97.98,0
3,A-11,4,1.25,98.75,0
4,A-11,5,0.81,99.19,0
5,A-11,6,0.0,100.0,0
6,A-11,7,0.0,100.0,0
7,A-11,8,0.0,100.0,0
8,A-11,9,0.97,99.03,0
9,A-11,10,1.2,98.8,0
10,A-11,11,3.89,96.11,0
11,A-11,12,0.67,99.33,0
12,A-12,1,0.0,100.0,0
13,A-12,2,2.23,97.77,0
14,A-12,3,3.5,96.5,0
15,A-12,4,1.94,98.06,0
16,A-12,5,0.54,99.46,0
17,A-12,6,0.0,100.0,0
18,A-12,7,0.0,100.0,0
19,A-12,8,0.0,100.0,0
20,A-12,9,0.28,99.72,0
21,A-12,10,0.93,99.07,0
22,A-12,11,5.0,95.0,0
23,A-12,12,0.94,99.06,0
24,A-13,1,0.0,100.0,0
25,A-13,2,5.8,94.2,0
26,A-13,3,1.35,98.65,0
27,A-13,4,2.08,97.92,0
28,A-13,5,0.81,99.19,0
29,A-13,6,0.0,100.0,0
30,A-13,7,0.0,100.0,0
31,A-13,8,0.0,100.0,0
32,A-13,9,0.28,99.72,0
33,A-13,10,1.6,98.4,0
34,A-13,11,8.06,91.94,0
35,A-13,12,2.82,97.18,0
36,A-14,1,0.0,100.0,0
37,A-14,2,4.32,95.68,0
38,A-14,3,0.67,99.33,0
39,A-14,4,1.11,98.89,0
40,A-14,5,0.27,99.73,0
41,A-14,6,0.0,100.0,0
42,A-14,7,0.0,100.0,0
43,A-14,8,0.0,100.0,0
44,A-14,9,0.14,99.86,0
45,A-14,10,0.53,99.47,0
46,A-14,11,5.42,94.58,0
47,A-14,12,2.02,97.98,0
48,A-21,1,0.0,100.0,0
49,A-21,2,0.6,99.4,0
50,A-21,3,0.54,99.46,0
51,A-21,4,1.67,98.33,0
52,A-21,5,0.27,99.73,0
53,A-21,6,0.0,100.0,0
54,A-21,7,0.0,100.0,0
55,A-21,8,0.0,100.0,0
56,A-21,9,0.42,99.58,0
57,A-21,10,0.67,99.33,0
58,A-21,11,3.61,96.39,0
59,A-21,12,0.27,99.73,0
60,A-22,1,0.0,100.0,0
61,A-22,2,1.49,98.51,0
62,A-22,3,1.75,98.25,0
63,A-22,4,1.11,98.89,0
64,A-22,5,0.54,99.46,0
65,A-22,6,0.0,100.0,0
66,A-22,7,0.0,100.0,0
67,A-22,8,0.0,100.0,0
68,A-22,9,0.69,99.31,0
69,A-22,10,0.93,99.07,0
70,A-22,11,4.58,95.42,0
71,A-22,12,0.94,99.06,0
72,A-23,1,1.08,98.92,0
73,A-23,2,3.27,96.73,0
74,A-23,3,2.15,97.85,0
75,A-23,4,0.56,99.44,0
76,A-23,5,0.27,99.73,0
77,A-23,6,0.0,100.0,0
78,A-23,7,0.0,100.0,0
79,A-23,8,0.0,100.0,0
80,A-23,9,0.14,99.86,0
81,A-23,10,0.8,99.2,0
82,A-23,11,5.97,94.03,0
83,A-23,12,2.42,97.58,0
84,A-24,1,0.67,99.33,0
85,A-24,2,1.49,98.51,0
86,A-24,3,1.75,98.25,0
87,A-24,4,1.11,98.89,0
88,A-24,5,0.13,99.87,0
89,A-24,6,0.0,100.0,0
90,A-24,7,0.0,100.0,0
91,A-24,8,0.0,100.0,0
92,A-24,9,0.28,99.72,0
93,A-24,10,0.8,99.2,0
94,A-24,11,2.92,97.08,0
95,A-24,12,2.15,97.85,0
96,A-31,1,0.27,99.73,0
97,A-31,2,1.19,98.81,0
98,A-31,3,1.08,98.92,0
99,A-31,4,1.39,98.61,0
100,A-31,5,0.27,99.73,0
101,A-31,6,0.0,100.0,0
102,A-31,7,0.0,100.0,0
103,A-31,8,0.0,100.0,0
104,A-31,9,0.28,99.72,0
105,A-31,10,1.6,98.4,0
106,A-31,11,6.25,93.75,0
107,A-31,12,1.75,98.25,0
108,A-32,1,0.4,99.6,0
109,A-32,2,5.95,94.05,0
110,A-32,3,3.9,96.1,0
111,A-32,4,1.67,98.33,0
112,A-32,5,1.08,98.92,0
