,Aula,Temperature_Deviation,Humidity_Deviation,CO2_Deviation,Temperature_Quality,Humidity_Quality,CO2_Quality,Global_Quality,planta,posicio
0,A-11,0.8086280056577086,0.29184347006129185,7.038071664309289,0.16172560113154172,0.009728115668709729,0.007038071664309289,0.05949726282152024,1,1
1,A-12,0.8023220179160775,0.16654879773691655,6.3631541725601135,0.1604644035832155,0.005551626591230552,0.006363154172560113,0.05745972811566872,1,2
2,A-13,0.7090169731258843,0.1746817538896747,8.90912305516266,0.14180339462517685,0.005822725129655823,0.008909123055162659,0.05217841426999845,1,3
3,A-14,0.6808345120226312,0.1492220650636492,4.882248939179632,0.13616690240452625,0.004974068835454973,0.004882248939179632,0.048674406726386954,1,4
4,A-21,0.8742692126355496,0.3682225365393682,2.4207920792079207,0.17485384252710992,0.012274084551312273,0.0024207920792079208,0.0631829063858767,2,1
5,A-22,0.9148161244695902,0.30586987270155586,2.4501414427157,0.18296322489391803,0.010195662423385194,0.0024501414427157,0.06520300958667297,2,2
6,A-23,0.8002475247524755,0.1760961810466761,4.236916548797737,0.1600495049504951,0.00586987270155587,0.004236916548797737,0.056718764733616235,2,3
7,A-24,0.8648396982555401,0.2393917963224894,3.0544554455445545,0.17296793965110802,0.00797972654408298,0.0030544554455445546,0.06133404054691185,2,4
8,A-31,0.9780881659594534,0.3564356435643564,2.6156294200848658,0.19561763319189068,0.011881188118811881,0.0026156294200848657,0.07003815024359582,3,1
9,A-32,1.0861504007543616,0.25,17.724893917963225,0.21723008015087233,0.008333333333333333,0.017724893917963225,0.08109610246738963,3,2
10,A-33,1.2663366336633666,0.009900990099009901,5.2772277227722775,0.2532673267326733,0.00033003300330033004,0.005277227722772278,0.08629152915291531,3,3
11,A-34,1.001650165016502,0.26414427157001413,5.87942008486563,0.20033003300330038,0.008804809052333804,0.00587942008486563,0.07167142071349994,3,4
12,A-35,1.0223243752946727,0.24575671852899575,8.692715700141443,0.20446487505893454,0.008191890617633191,0.008692715700141443,0.07378316045890305,3,5
13,A-36,1.0848420556341352,0.033592644978783594,6.818010372465817,0.21696841112682702,0.00111975483262612,0.006818010372465817,0.07496872544397298,3,6
14,A-41,1.0405233380480907,0.260961810466761,2.7846534653465347,0.20810466760961815,0.0086987270155587,0.0027846534653465345,0.07319601603017446,4,1
15,A-42,0.9805634134842061,0.05091937765205092,1.8836633663366336,0.1961126826968412,0.0016973125884016975,0.0018836633663366336,0.06656455288385985,4,2
16,A-43,0.9061881188118814,0.14073550212164074,1.4091230551626592,0.1812376237623763,0.004691183404054691,0.0014091230551626591,0.06244597674053121,4,3
17,A-44,0.9287246581801041,0.27015558698727016,3.4823196605374824,0.18574493163602082,0.009005186232909005,0.0034823196605374826,0.0660774791764891,4,4
18,A-51,0.8839462517680342,0.4801980198019802,1.1577086280056577,0.17678925035360685,0.016006600660066005,0.0011577086280056576,0.06465118654722617,5,1
19,A-52,0.8880009429514384,0.4243281471004243,1.4358793022159357,0.17760018859028767,0.014144271570014143,0.0014358793022159358,0.06439344648750592,5,2
20,A-53,1.0439651107967944,0.35997171145685997,0.11138613861386139,0.20879302215935888,0.011999057048561999,0.00011138613861386139,0.07363448844884492,5,3
21,A-54,0.9194012258368696,0.3270862800565771,0.0,0.18388024516737392,0.010902876001885903,0.0,0.06492770705641994,5,4
22,A-55,0.8538071664309289,0.278995756718529,2.258132956152758,0.1707614332861858,0.0092998585572843,0.002258132956152758,0.060773141599874285,5,5
23,A-56,0.8000117868929751,0.21923620933521923,1.5190947666195191,0.16000235737859503,0.007307873644507307,0.001519094766619519,0.05627644192990728,5,6
24,A-61,0.8222536539368225,0.41112682696841113,1.0265205091937766,0.1644507307873645,0.013704227565613705,0.0010265205091937765,0.059727159620723995,6,1
25,A-62,0.6450848656294204,0.3868458274398868,1.0403111739745403,0.12901697312588406,0.012894860914662893,0.0010403111739745402,0.047650715071507165,6,2
