,hour_of_day,day_of_week,CO2,festiu
0,5,Monday,446.90277777777777,0.0
1,5,Tuesday,451.86209730440504,0.0
2,5,Wednesday,449.66194331983803,0.0
3,5,Thursday,441.39676113360326,0.0
4,5,Friday,437.4661858974359,0.0
5,5,Saturday,443.13798920377866,0.0
6,5,Sunday,441.68724696356276,0.0
7,6,Monday,452.63550569800566,0.0
8,6,Tuesday,455.65269559500325,0.0
9,6,Wednesday,452.860661268556,0.0
10,6,Thursday,447.21018893387316,0.0
11,6,Friday,442.0706730769231,0.0
12,6,Saturday,442.8979419703104,0.0
13,6,Sunday,441.7368421052632,0.0
14,7,Monday,466.15206552706553,0.0
15,7,Tuesday,467.9809335963182,0.0
16,7,Wednesday,465.4900472334683,0.0
17,7,Thursday,459.9787449392713,0.0
18,7,Friday,454.3546474358974,0.0
19,7,Saturday,443.33653846153845,0.0
20,7,Sunday,442.4868421052632,0.0
21,8,Monday,509.9978632478632,0.0
22,8,Tuesday,524.1760355029586,0.0
23,8,Wednesday,496.5524628879892,0.0
24,8,Thursday,503.3257422402159,0.0
25,8,Friday,485.1189102564103,0.0
26,8,Saturday,443.37179487179486,0.0
27,8,Sunday,441.4598515519568,0.0
28,9,Monday,640.7916666666666,0.0
29,9,Tuesday,581.8006245890862,0.0
30,9,Wednesday,576.6572199730094,0.0
31,9,Thursday,597.1744264507423,0.0
32,9,Friday,570.4985576923077,0.0
33,9,Saturday,442.36470985155194,0.0
34,9,Sunday,441.15148448043186,0.0
35,10,Monday,652.8885327635327,0.0
36,10,Tuesday,597.3994082840237,0.0
37,10,Wednesday,595.9856612685561,0.0
38,10,Thursday,600.0200742240216,0.0
39,10,Friday,585.223076923077,0.0
40,10,Saturday,441.2408906882591,0.0
41,10,Sunday,440.74780701754383,0.0
42,11,Monday,639.7775997150998,0.0
43,11,Tuesday,625.4289940828403,0.0
44,11,Wednesday,607.8296221322537,0.0
45,11,Thursday,578.5752361673415,0.0
46,11,Friday,569.7275641025641,0.0
47,11,Saturday,439.03171390013495,0.0
48,11,Sunday,439.6449055330634,0.0
49,12,Monday,611.9729344729344,0.0
50,12,Tuesday,617.4347468770546,0.0
51,12,Wednesday,592.9831309041836,0.0
52,12,Thursday,583.2484817813765,0.0
53,12,Friday,576.8116987179487,0.0
54,12,Saturday,438.1683535762483,0.0
55,12,Sunday,438.36032388663966,0.0
56,13,Monday,573.0315170940171,0.0
57,13,Tuesday,550.6811308349769,0.0
58,13,Wednesday,551.529689608637,0.0
59,13,Thursday,561.5404858299595,0.0
60,13,Friday,542.6722756410256,0.0
61,13,Saturday,435.05296896086367,0.0
62,13,Sunday,437.8979419703104,0.0
63,14,Monday,500.27920227920225,0.0
64,14,Tuesday,504.4431295200526,0.0
65,14,Wednesday,495.0158569500675,0.0
66,14,Thursday,496.3974358974359,0.0
67,14,Friday,481.94791666666663,0.0
68,14,Saturday,432.9468623481781,0.0
69,14,Sunday,437.2516869095817,0.0
70,15,Monday,540.4622507122507,0.0
71,15,Tuesday,562.111439842209,0.0
72,15,Wednesday,545.6543522267207,0.0
73,15,Thursday,520.1928137651822,0.0
74,15,Friday,513.5685897435898,0.0
75,15,Saturday,431.04605263157896,0.0
76,15,Sunday,436.31916329284746,0.0
77,16,Monday,574.6351495726495,0.0
78,16,Tuesday,610.2975016436554,0.0
79,16,Wednesday,580.3026315789474,0.0
80,16,Thursday,553.6374831309042,0.0
81,16,Friday,537.1751602564102,0.0
82,16,Saturday,431.5391363022942,0.0
83,16,Sunday,436.75016869095816,0.0
84,17,Monday,625.9250356125357,0.0
85,17,Tuesday,619.0928665351742,0.0
86,17,Wednesday,593.582995951417,0.0
87,17,Thursday,578.8584682860999,0.0
88,17,Friday,519.4866987179487,0.0
89,17,Saturday,433.7840755735493,0.0
90,17,Sunday,437.80971659919027,0.0
91,18,Monday,658.0840455840455,0.0
92,18,Tuesday,600.2577251808021,0.0
93,18,Wednesday,592.9412955465586,0.0
94,18,Thursday,575.0445344129555,0.0
95,18,Friday,521.0496794871794,0.0
96,18,Saturday,436.3593117408907,0.0
97,18,Sunday,440.30836707152497,0.0
98,19,Monday,643.6162749287749,0.0
99,19,Tuesday,581.3833004602235,0.0
100,19,Wednesday,574.4348852901484,0.0
101,19,Thursday,558.7914979757085,0.0
102,19,Friday,526.2128205128206,0.0
103,19,Saturday,439.64591767881245,0.0
104,19,Sunday,443.1862348178138,0.0
105,20,Monday,560.7320156695156,0.0
106,20,Tuesday,519.1214661406968,0.0
107,20,Wednesday,517.7456140350878,0.0
108,20,Thursday,504.48717948717945,0.0
109,20,Friday,497.4641025641026,0.0
110,20,Saturday,442.31983805668017,0.0
111,20,Sunday,446.5787786774629,0.0
112,21,Monday,504.0815527065527,0.0
113,21,Tuesday,484.3548652202498,0.0
114,21,Wednesday,481.0259784075574,0.0
115,21,Thursday,470.3638663967611,0.0
116,21,Friday,471.35080128205124,0.0
117,21,Saturday,443.3286099865047,0.0
118,21,Sunday,448.33991228070175,0.0
119,22,Monday,481.9870014245014,0.0
120,22,Tuesday,469.8214990138067,0.0
121,22,Wednesday,468.30971659919027,0.0
122,22,Thursday,457.142375168691,0.0
123,22,Friday,461.05272435897433,0.0
124,22,Saturday,444.0055668016194,0.0
125,22,Sunday,449.8257422402159,0.0
