Date,Aula,CO2,outdoors_co2,max_co2,Distance,Color
2023-01-01 00:00:00,A-24,478.0,400,1000,0.5769230769230944,Comfort
2023-01-01 00:00:00,A-54,496.5,400,1000,19.076923076923094,Comfort
2023-01-01 00:00:00,A-21,455.0,400,1000,22.423076923076906,Comfort
2023-01-01 00:00:00,A-23,453.0,400,1000,24.423076923076906,Comfort
2023-01-01 00:00:00,A-42,503.5,400,1000,26.076923076923094,Comfort
2023-01-01 00:00:00,A-33,433.0,400,1000,44.423076923076906,Comfort
2023-01-01 01:00:00,A-51,486.5,400,1000,1.153846153846132,Comfort
2023-01-01 01:00:00,A-54,506.5,400,1000,21.153846153846132,Comfort
2023-01-01 01:00:00,A-13,509.0,400,1000,23.653846153846132,Comfort
2023-01-01 01:00:00,A-11,511.0,400,1000,25.653846153846132,Comfort
2023-01-01 01:00:00,A-43,512.0,400,1000,26.653846153846132,Comfort
2023-01-01 01:00:00,A-33,423.5,400,1000,61.84615384615387,Comfort
2023-01-01 02:00:00,A-51,497.0,400,1000,2.461538461538453,Comfort
2023-01-01 02:00:00,A-44,471.0,400,1000,23.538461538461547,Comfort
2023-01-01 02:00:00,A-11,522.0,400,1000,27.461538461538453,Comfort
2023-01-01 02:00:00,A-43,523.0,400,1000,28.461538461538453,Comfort
2023-01-01 02:00:00,A-54,551.5,400,1000,56.96153846153845,Comfort
2023-01-01 02:00:00,A-33,413.0,400,1000,81.53846153846155,Comfort
2023-01-01 03:00:00,A-31,507.5,400,1000,0.05769230769232081,Comfort
2023-01-01 03:00:00,A-61,534.5,400,1000,26.94230769230768,Comfort
2023-01-01 03:00:00,A-22,477.5,400,1000,30.05769230769232,Comfort
2023-01-01 03:00:00,A-43,554.5,400,1000,46.94230769230768,Comfort
2023-01-01 03:00:00,A-11,564.0,400,1000,56.44230769230768,Comfort
2023-01-01 03:00:00,A-33,428.0,400,1000,79.55769230769232,Comfort
2023-01-01 04:00:00,A-35,507.5,400,1000,0.4615384615384528,Comfort
2023-01-01 04:00:00,A-42,529.5,400,1000,22.461538461538453,Comfort
2023-01-01 04:00:00,A-21,479.0,400,1000,28.038461538461547,Comfort
2023-01-01 04:00:00,A-43,542.0,400,1000,34.96153846153845,Comfort
2023-01-01 04:00:00,A-54,547.5,400,1000,40.46153846153845,Comfort
2023-01-01 04:00:00,A-33,427.5,400,1000,79.53846153846155,Comfort
2023-01-01 05:00:00,A-23,497.0,400,1000,0.09615384615386802,Comfort
2023-01-01 05:00:00,A-42,523.0,400,1000,25.903846153846132,Comfort
