,Date,Aula,Humidity,min_humidity,max_humidity,planta,festiu,day_of_week,is_weekend,hour_of_day
248,2023-01-11 08:00:00,A-11,42.5,30,60,1,False,2,False,8
249,2023-01-11 09:00:00,A-11,42.0,30,60,1,False,2,False,9
250,2023-01-11 10:00:00,A-11,41.0,30,60,1,False,2,False,10
251,2023-01-11 11:00:00,A-11,40.0,30,60,1,False,2,False,11
252,2023-01-11 12:00:00,A-11,40.0,30,60,1,False,2,False,12
253,2023-01-11 13:00:00,A-11,40.0,30,60,1,False,2,False,13
254,2023-01-11 14:00:00,A-11,41.0,30,60,1,False,2,False,14
255,2023-01-11 15:00:00,A-11,41.0,30,60,1,False,2,False,15
256,2023-01-11 16:00:00,A-11,41.0,30,60,1,False,2,False,16
257,2023-01-11 17:00:00,A-11,41.0,30,60,1,False,2,False,17
258,2023-01-11 18:00:00,A-11,41.0,30,60,1,False,2,False,18
259,2023-01-11 19:00:00,A-11,41.0,30,60,1,False,2,False,19
260,2023-01-11 20:00:00,A-11,41.0,30,60,1,False,2,False,20
272,2023-01-12 08:00:00,A-11,40.5,30,60,1,False,3,False,8
273,2023-01-12 09:00:00,A-11,40.0,30,60,1,False,3,False,9
274,2023-01-12 10:00:00,A-11,39.0,30,60,1,False,3,False,10
275,2023-01-12 11:00:00,A-11,38.0,30,60,1,False,3,False,11
276,2023-01-12 12:00:00,A-11,38.0,30,60,1,False,3,False,12
277,2023-01-12 13:00:00,A-11,37.0,30,60,1,False,3,False,13
278,2023-01-12 14:00:00,A-11,37.5,30,60,1,False,3,False,14
279,2023-01-12 15:00:00,A-11,38.0,30,60,1,False,3,False,15
280,2023-01-12 16:00:00,A-11,39.0,30,60,1,False,3,False,16
281,2023-01-12 17:00:00,A-11,39.0,30,60,1,False,3,False,17
282,2023-01-12 18:00:00,A-11,40.0,30,60,1,False,3,False,18
283,2023-01-12 19:00:00,A-11,40.0,30,60,1,False,3,False,19
284,2023-01-12 20:00:00,A-11,40.0,30,60,1,False,3,False,20
296,2023-01-13 08:00:00,A-11,36.0,30,60,1,False,4,False,8
297,2023-01-13 09:00:00,A-11,36.0,30,60,1,False,4,False,9
298,2023-01-13 10:00:00,A-11,37.5,30,60,1,False,4,False,10
299,2023-01-13 11:00:00,A-11,37.5,30,60,1,False,4,False,11
300,2023-01-13 12:00:00,A-11,37.0,30,60,1,False,4,False,12
301,2023-01-13 13:00:00,A-11,36.0,30,60,1,False,4,False,13
302,2023-01-13 14:00:00,A-11,36.0,30,60,1,False,4,False,14
303,2023-01-13 15:00:00,A-11,36.0,30,60,1,False,4,False,15
304,2023-01-13 16:00:00,A-11,36.0,30,60,1,False,4,False,16
305,2023-01-13 17:00:00,A-11,36.0,30,60,1,False,4,False,17
306,2023-01-13 18:00:00,A-11,37.0,30,60,1,False,4,False,18
