Date,CS A elec [kW] [ETSAB],CS B elec [kW] [ETSAB],CS C elec [kW] [ETSAB],Electricitat Total [kW] [ETSAB],Time
2023-01-01,19.996,0.0,3.336,23.331999999999997,00:00:00
2023-01-01,19.448,0.0,3.308,22.756,00:15:00
2023-01-01,20.772,0.0,3.32,24.092,00:30:00
2023-01-01,20.236,0.0,3.328,23.564,00:45:00
2023-01-01,20.948,0.0,3.316,24.264,01:00:00
2023-01-01,20.248,0.0,3.308,23.556,01:15:00
2023-01-01,19.54,0.0,3.348,22.887999999999998,01:30:00
2023-01-01,21.136,0.0,3.312,24.448,01:45:00
2023-01-01,19.98,0.0,3.324,23.304000000000002,02:00:00
2023-01-01,20.688,0.0,3.328,24.016,02:15:00
2023-01-01,19.464,0.0,3.312,22.776,02:30:00
2023-01-01,19.764,0.0,3.344,23.108,02:45:00
2023-01-01,19.668,0.0,3.308,22.976,03:00:00
2023-01-01,19.58,0.0,3.328,22.907999999999998,03:15:00
2023-01-01,19.852,0.0,3.316,23.168,03:30:00
2023-01-01,20.356,0.0,3.336,23.692,03:45:00
2023-01-01,19.924,0.0,3.324,23.247999999999998,04:00:00
2023-01-01,19.856,0.0,3.36,23.216,04:15:00
2023-01-01,20.724,0.0,3.312,24.036,04:30:00
2023-01-01,19.872,0.0,3.312,23.184,04:45:00
2023-01-01,20.676,0.0,3.34,24.016,05:00:00
2023-01-01,20.076,0.0,3.324,23.4,05:15:00
2023-01-01,19.408,0.0,3.416,22.824,05:30:00
2023-01-01,20.392,0.004,3.452,23.848,05:45:00
2023-01-01,19.892,0.0,3.432,23.323999999999998,06:00:00
2023-01-01,20.06,0.0,3.42,23.479999999999997,06:15:00
2023-01-01,19.996,0.0,3.36,23.355999999999998,06:30:00
2023-01-01,20.308,0.004,3.316,23.628,06:45:00
2023-01-01,19.828,0.0,3.3,23.128,07:00:00
2023-01-01,20.14,0.0,3.328,23.468,07:15:00
2023-01-01,21.004,0.0,3.336,24.34,07:30:00
2023-01-01,19.648,0.0,3.308,22.956,07:45:00
2023-01-01,20.176,0.0,3.396,23.572,08:00:00
2023-01-01,20.168,0.0,3.412,23.58,08:15:00
2023-01-01,19.308,0.0,3.416,22.724,08:30:00
2023-01-01,19.796,0.0,3.448,23.244,08:45:00
2023-01-01,19.604,0.0,3.404,23.008,09:00:00
2023-01-01,19.348,0.0,3.32,22.668,09:15:00
2023-01-01,20.388,0.0,3.424,23.812,09:30:00
2023-01-01,20.324,0.0,3.404,23.728,09:45:00
2023-01-01,20.328,0.0,3.428,23.756,10:00:00
2023-01-01,20.648,0.0,3.42,24.067999999999998,10:15:00
2023-01-01,20.264,0.0,3.4,23.663999999999998,10:30:00
2023-01-01,20.236,0.0,3.424,23.66,10:45:00
2023-01-01,19.736,0.0,3.432,23.168,11:00:00
2023-01-01,20.168,0.0,3.424,23.592,11:15:00
2023-01-01,19.276,0.0,3.508,22.784,11:30:00
2023-01-01,19.876,0.0,3.58,23.456000000000003,11:45:00
2023-01-01,19.54,0.0,3.404,22.944,12:00:00
2023-01-01,19.444,0.12,3.42,22.983999999999998,12:15:00
2023-01-01,19.432,0.0,3.396,22.828,12:30:00
2023-01-01,19.668,0.0,3.42,23.088,12:45:00
2023-01-01,19.916,0.0,3.38,23.296,13:00:00
2023-01-01,21.76,0.0,3.396,25.156000000000002,13:15:00
2023-01-01,20.332,0.0,3.376,23.708000000000002,13:30:00
2023-01-01,20.112,0.0,3.324,23.436,13:45:00
2023-01-01,20.692,0.0,3.384,24.076,14:00:00
2023-01-01,20.324,0.0,3.404,23.728,14:15:00
2023-01-01,20.884,0.0,3.428,24.312,14:30:00
2023-01-01,20.836,0.0,3.408,24.244,14:45:00
2023-01-01,20.54,0.0,3.404,23.944,15:00:00
2023-01-01,19.552,0.0,2.804,22.355999999999998,15:15:00
