,Aula,Month,Lower,Upper,Comfort
0,A-11,1,91.94,0.0,8.060000000000002
1,A-11,2,63.84,0.0,36.16
2,A-11,3,27.05,0.0,72.95
3,A-11,4,35.14,0.28,64.58
4,A-11,5,0.54,8.33,91.13
5,A-11,6,0.0,94.72,5.280000000000001
6,A-11,7,0.0,100.0,0.0
7,A-11,8,0.0,100.0,0.0
8,A-11,9,0.0,96.11,3.8900000000000006
9,A-11,10,0.0,51.26,48.74
10,A-11,11,17.78,0.0,82.22
11,A-11,12,62.37,0.0,37.63
12,A-12,1,97.45,0.0,2.549999999999997
13,A-12,2,55.95,0.0,44.05
14,A-12,3,28.26,1.21,70.53
15,A-12,4,34.44,0.69,64.87
16,A-12,5,0.0,9.41,90.59
17,A-12,6,0.0,95.14,4.859999999999999
18,A-12,7,0.0,100.0,0.0
19,A-12,8,0.0,100.0,0.0
20,A-12,9,0.0,97.08,2.9200000000000017
21,A-12,10,0.0,54.59,45.41
22,A-12,11,21.81,0.0,78.19
23,A-12,12,76.48,0.13,23.39
24,A-13,1,99.33,0.0,0.6700000000000017
25,A-13,2,67.41,0.0,32.59
26,A-13,3,22.21,0.0,77.78999999999999
27,A-13,4,32.5,0.69,66.81
28,A-13,5,0.0,6.99,93.01
29,A-13,6,0.0,92.78,7.219999999999999
30,A-13,7,0.0,100.0,0.0
31,A-13,8,0.0,100.0,0.0
32,A-13,9,0.0,99.44,0.5600000000000023
33,A-13,10,0.0,56.46,43.54
34,A-13,11,12.08,0.0,87.92
35,A-13,12,74.6,0.0,25.400000000000006
36,A-14,1,99.06,0.0,0.9399999999999977
37,A-14,2,76.79,0.0,23.209999999999994
38,A-14,3,25.98,0.0,74.02
39,A-14,4,33.75,0.69,65.56
40,A-14,5,0.0,4.17,95.83
41,A-14,6,0.0,89.03,10.969999999999999
42,A-14,7,0.0,100.0,0.0
43,A-14,8,0.0,100.0,0.0
44,A-14,9,0.0,99.72,0.28000000000000114
45,A-14,10,0.0,48.6,51.4
46,A-14,11,35.0,0.0,65.0
47,A-14,12,89.65,0.0,10.349999999999994
48,A-21,1,95.16,0.0,4.840000000000003
49,A-21,2,44.49,0.0,55.51
50,A-21,3,13.73,0.0,86.27
51,A-21,4,26.94,3.75,69.31
52,A-21,5,0.0,19.49,80.51
53,A-21,6,0.0,96.94,3.0600000000000023
54,A-21,7,0.0,100.0,0.0
55,A-21,8,0.0,100.0,0.0
56,A-21,9,0.0,99.86,0.14000000000000057
57,A-21,10,0.0,59.25,40.75
58,A-21,11,5.69,0.0,94.31
59,A-21,12,58.33,0.54,41.13
60,A-22,1,96.77,0.0,3.230000000000004
61,A-22,2,49.26,0.0,50.74
62,A-22,3,32.97,0.27,66.75999999999999
63,A-22,4,25.56,5.28,69.16
64,A-22,5,0.0,20.7,79.3
65,A-22,6,0.0,98.06,1.9399999999999977
66,A-22,7,0.0,100.0,0.0
67,A-22,8,0.0,100.0,0.0
68,A-22,9,0.0,100.0,0.0
