,Aula,Month,temp_excessiva_alta,temp_excessiva_baixa,temp_excessiva,co2_excessiu,humitat_excessiva,humitat_alta,humitat_baixa,planta,posicio
0,A-11,1,0.0,91.94,91.94,0.0,31.45,2.15,29.3,1,1
1,A-11,2,0.0,63.84,63.84,3.57,20.98,0.15,20.83,1,1
2,A-11,3,0.0,27.05,27.05,2.02,9.29,0.0,9.29,1,1
3,A-11,4,0.28,35.14,35.42,1.25,3.75,0.83,2.92,1,1
4,A-11,5,8.33,0.54,8.87,0.81,1.21,0.94,0.27,1,1
5,A-11,6,94.72,0.0,94.72,0.0,4.72,4.72,0.0,1,1
6,A-11,7,100.0,0.0,100.0,0.0,15.86,15.86,0.0,1,1
7,A-11,8,100.0,0.0,100.0,0.0,27.55,27.55,0.0,1,1
8,A-11,9,96.11,0.0,96.11,0.97,16.53,16.11,0.42,1,1
9,A-11,10,51.26,0.0,51.26,1.2,30.63,30.63,0.0,1,1
10,A-11,11,0.0,17.78,17.78,3.89,5.97,0.0,5.97,1,1
11,A-11,12,0.0,62.37,62.37,0.67,6.85,0.0,6.85,1,1
12,A-12,1,0.0,97.45,97.45,0.0,30.11,2.02,28.09,1,2
13,A-12,2,0.0,55.95,55.95,2.23,12.95,0.0,12.95,1,2
14,A-12,3,1.21,28.26,29.48,3.5,8.75,0.0,8.75,1,2
15,A-12,4,0.69,34.44,35.14,1.94,2.08,0.0,2.08,1,2
16,A-12,5,9.41,0.0,9.41,0.54,0.67,0.13,0.54,1,2
17,A-12,6,95.14,0.0,95.14,0.0,4.72,4.72,0.0,1,2
18,A-12,7,100.0,0.0,100.0,0.0,14.65,14.65,0.0,1,2
19,A-12,8,100.0,0.0,100.0,0.0,28.23,28.23,0.0,1,2
20,A-12,9,97.08,0.0,97.08,0.28,16.39,15.83,0.56,1,2
21,A-12,10,54.59,0.0,54.59,0.93,26.63,26.63,0.0,1,2
22,A-12,11,0.0,21.81,21.81,5.0,3.75,0.0,3.75,1,2
23,A-12,12,0.13,76.48,76.61,0.94,3.63,0.27,3.36,1,2
24,A-13,1,0.0,99.33,99.33,0.0,26.08,1.34,24.73,1,3
25,A-13,2,0.0,67.41,67.41,5.8,12.65,0.0,12.65,1,3
26,A-13,3,0.0,22.21,22.21,1.35,10.09,0.0,10.09,1,3
27,A-13,4,0.69,32.5,33.19,2.08,2.5,0.0,2.5,1,3
28,A-13,5,6.99,0.0,6.99,0.81,0.27,0.27,0.0,1,3
29,A-13,6,92.78,0.0,92.78,0.0,5.14,5.14,0.0,1,3
30,A-13,7,100.0,0.0,100.0,0.0,16.13,16.13,0.0,1,3
