,Aula,temp_excessiva_alta,temp_excessiva_baixa,temp_excessiva,co2_excessiu,humitat_excessiva,humitat_alta,humitat_baixa,planta,posicio
0,A-11,25.18,8.2,33.38,3.82,8.98,1.49,7.5,1,1
1,A-12,27.02,10.61,37.62,4.17,6.86,0.92,5.94,1,2
2,A-13,24.4,9.9,34.3,4.95,6.93,0.99,5.94,1,3
3,A-14,22.91,14.29,37.2,3.11,6.44,1.13,5.3,1,4
4,A-21,29.84,4.88,34.72,1.56,9.48,0.21,9.26,2,1
5,A-22,31.05,8.2,39.25,2.48,8.27,0.07,8.2,2,2
6,A-23,29.63,9.05,38.68,3.11,6.01,0.07,5.94,2,3
7,A-24,31.4,7.57,38.97,2.26,6.72,0.0,6.72,2,4
8,A-31,28.71,5.94,34.65,1.98,9.69,0.14,9.55,3,1
9,A-32,32.18,8.84,41.02,6.29,7.0,0.0,7.0,3,2
10,A-33,31.05,17.75,48.8,2.05,0.64,0.07,0.57,3,3
11,A-34,30.69,7.92,38.61,3.39,7.92,0.0,7.92,3,4
12,A-35,31.33,7.0,38.33,4.03,7.71,0.0,7.71,3,5
13,A-36,30.69,16.41,47.1,2.62,1.63,0.14,1.49,3,6
14,A-41,28.64,8.27,36.92,2.19,7.85,0.07,7.78,4,1
15,A-42,31.68,5.73,37.41,1.91,2.55,0.07,2.48,4,2
16,A-43,26.87,12.09,38.97,1.27,5.66,0.0,5.66,4,3
17,A-44,31.19,7.14,38.33,2.12,8.56,0.14,8.42,4,4
18,A-51,30.13,5.37,35.5,0.71,11.67,0.57,11.1,5,1
19,A-52,30.27,5.52,35.79,0.92,10.75,0.57,10.18,5,2
20,A-53,33.52,11.1,44.63,0.07,10.25,0.28,9.97,5,3
21,A-54,29.28,8.49,37.77,0.0,8.84,0.35,8.49,5,4
22,A-55,30.48,6.01,36.49,1.56,8.42,0.14,8.27,5,5
23,A-56,28.15,7.28,35.43,1.49,7.0,0.0,7.0,5,6
24,A-61,28.78,5.94,34.72,0.57,9.97,0.28,9.69,6,1
25,A-62,24.47,4.17,28.64,0.92,9.69,0.21,9.48,6,2
