,Aula,temp_excessiva_alta,temp_excessiva_baixa,temp_excessiva,co2_excessiu,humitat_excessiva,humitat_alta,humitat_baixa,planta,posicio
0,A-11,26.54,10.96,37.5,3.96,15.62,5.23,10.38,1,1
1,A-12,28.19,15.04,43.23,4.27,12.96,4.5,8.46,1,2
2,A-13,26.77,15.08,41.85,6.19,11.58,4.31,7.27,1,3
3,A-14,25.35,21.88,47.23,3.92,10.38,3.77,6.62,1,4
4,A-21,30.27,9.58,39.85,2.23,14.85,2.77,12.08,2,1
5,A-22,32.73,11.77,44.5,3.35,13.38,1.88,11.5,2,2
6,A-23,30.73,13.96,44.69,4.62,8.58,1.73,6.85,2,3
7,A-24,32.42,14.31,46.73,3.15,9.96,1.62,8.35,2,4
8,A-31,28.96,6.73,35.69,3.92,15.15,2.54,12.62,3,1
9,A-32,32.31,13.04,45.35,5.27,10.42,1.46,8.96,3,2
10,A-33,31.54,17.12,48.65,3.42,3.12,1.88,1.23,3,3
11,A-34,31.19,12.65,43.85,4.35,11.85,1.35,10.5,3,4
12,A-35,32.31,12.62,44.92,4.58,11.58,1.5,10.08,3,5
13,A-36,30.73,20.88,51.62,3.42,3.23,1.62,1.62,3,6
14,A-41,28.92,10.27,39.19,2.15,11.88,1.5,10.38,4,1
15,A-42,30.77,7.69,38.46,1.85,5.81,2.96,2.85,4,2
16,A-43,28.5,16.08,44.58,1.31,6.88,1.27,5.62,4,3
17,A-44,31.35,10.27,41.62,2.12,11.35,1.12,10.23,4,4
18,A-51,28.88,7.58,36.46,0.54,15.62,1.65,13.96,5,1
19,A-52,29.58,7.62,37.19,1.35,14.15,1.38,12.77,5,2
20,A-53,32.27,17.46,49.73,0.23,12.58,1.23,11.35,5,3
21,A-54,29.81,16.65,46.46,0.19,11.12,1.23,9.88,5,4
22,A-55,30.08,11.96,42.04,1.04,9.96,1.12,8.85,5,5
23,A-56,28.27,14.19,42.46,1.0,8.81,1.42,7.38,5,6
24,A-61,29.38,7.38,36.77,1.85,14.5,1.77,12.73,6,1
25,A-62,26.42,7.77,34.19,0.92,12.73,1.62,11.12,6,2
